id,area,major_axis,minor_axis,angle,circularity,feret_diameter,aspect_ratio,roundness,solidity,defect_type
247LC.A.27,467.367,26.748,22.247,30.307,0.895,28.829,1.202,0.832,0.934,Pore
247LC.A.28,1649.324,69.445,30.24,75.402,0.065,153.601,2.296,0.435,0.256,Crack
247LC.A.29,137.738,24.177,7.254,37.513,0.357,28.397,3.333,0.3,0.624,Crack
247LC.A.30,300.198,62.452,6.12,81.284,0.141,72.428,10.204,0.098,0.512,Crack
247LC.A.31,1278.491,46.664,34.884,111.055,0.828,47.107,1.338,0.748,0.944,Pore
247LC.A.32,482.672,64.214,9.57,130.865,0.247,68.631,6.71,0.149,0.662,Crack
247LC.A.33,113.016,30.328,4.745,143.77,0.271,33.425,6.392,0.156,0.61,Crack
247LC.A.34,197.778,57.707,4.364,29.474,0.131,62.912,13.224,0.076,0.553,Crack
247LC.A.35,1543.372,45.245,43.433,49.85,0.402,52.407,1.042,0.96,0.822,Pore
247LC.A.36,140.093,20.904,8.533,13.221,0.632,20.955,2.45,0.408,0.821,Crack
247LC.A.37,1331.467,59.22,28.627,148.825,0.188,93.096,2.069,0.483,0.588,Pore with Crack
247LC.A.38,342.579,45.748,9.535,140.679,0.16,71.182,4.798,0.208,0.433,Crack
247LC.A.39,174.233,21.807,10.173,132.739,0.319,26.688,2.144,0.466,0.613,Crack
247LC.A.40,142.447,40.287,4.502,101.075,0.16,47.27,8.949,0.112,0.514,Crack
247LC.A.41,216.614,19.102,14.439,47.204,0.885,20.842,1.323,0.756,0.934,Pore
247LC.A.42,296.666,37.402,10.099,71.363,0.192,56.421,3.704,0.27,0.458,Crack
247LC.A.43,107.13,31.448,4.337,96.829,0.288,31.07,7.25,0.138,0.689,Crack
247LC.A.44,135.384,17.924,9.617,56.663,0.303,25.423,1.864,0.537,0.518,Crack
247LC.A.45,983.002,38.743,32.305,70.652,0.802,40.51,1.199,0.834,0.926,Pore
247LC.A.46,2883.08,78.659,46.668,72.535,0.417,101.58,1.686,0.593,0.703,Pore with Crack
247LC.A.47,2014.271,60.871,42.133,23.011,0.222,75.562,1.445,0.692,0.673,Pore with Crack
247LC.A.48,3369.284,69.293,61.909,31.194,0.593,78.392,1.119,0.893,0.895,Pore
247LC.A.49,596.865,66.462,11.434,108.433,0.221,73.429,5.812,0.172,0.537,Pore with Crack
247LC.A.50,1849.457,51.787,45.471,23.697,0.821,55.622,1.139,0.878,0.947,Pore
247LC.A.51,676.918,34.928,24.676,164.584,0.808,36.602,1.415,0.706,0.92,Pore
247LC.A.52,200.132,22.922,11.117,10.644,0.235,37.081,2.062,0.485,0.453,Crack
247LC.A.53,310.793,40.399,9.795,11.457,0.128,67.253,4.124,0.242,0.36,Crack
247LC.A.54,463.836,82.549,7.154,54.478,0.104,100.912,11.538,0.087,0.5,Crack
247LC.A.55,699.285,30.206,29.476,136.932,0.768,34.737,1.025,0.976,0.907,Pore
247LC.A.56,167.169,24.977,8.522,81.596,0.375,31.07,2.931,0.341,0.659,Crack
247LC.A.57,1601.057,47.06,43.318,154.142,0.82,50.064,1.086,0.92,0.944,Pore
247LC.A.58,169.524,15.719,13.732,137.276,0.958,17.156,1.145,0.874,0.929,Pore
247LC.A.59,178.942,36.058,6.319,56.211,0.268,40.365,5.707,0.175,0.65,Crack
247LC.A.60,947.685,37.21,32.428,42.07,0.611,40.728,1.147,0.871,0.895,Pore
247LC.A.61,925.317,46.834,25.156,6.983,0.097,90.649,1.862,0.537,0.371,Crack
247LC.A.62,217.791,43.111,6.432,137.962,0.197,48.825,6.702,0.149,0.551,Crack
247LC.A.63,601.574,29.524,25.943,56.262,0.871,31.296,1.138,0.879,0.935,Pore
247LC.A.64,714.59,83.636,10.879,83.592,0.153,105.38,7.688,0.13,0.444,Crack
247LC.A.65,135.384,17.781,9.694,127.334,0.553,21.067,1.834,0.545,0.833,Crack
247LC.A.66,801.706,39.411,25.9,153.264,0.11,79.213,1.522,0.657,0.334,Crack
247LC.A.67,1014.788,91.321,14.149,165.312,0.177,110.01,6.454,0.155,0.539,Crack
247LC.A.68,3200.937,121.984,33.411,142.906,0.208,159.699,3.651,0.274,0.529,Pore with Crack
247LC.A.69,113.016,20.066,7.171,155.165,0.415,25.307,2.798,0.357,0.649,Crack
247LC.A.70,516.812,72.188,9.115,69.731,0.158,78.422,7.919,0.126,0.538,Crack
247LC.A.71,330.807,36.57,11.518,148.581,0.271,43.94,3.175,0.315,0.613,Crack
247LC.A.72,645.132,56.959,14.421,66.089,0.122,94.196,3.95,0.253,0.434,Crack
247LC.A.73,7354.268,110.704,84.584,4.64,0.239,164.997,1.309,0.764,0.633,Pore with Crack
247LC.A.74,586.269,46.036,16.215,175.119,0.309,54.941,2.839,0.352,0.651,Crack
247LC.A.75,548.598,40.965,17.051,51.193,0.131,75.25,2.403,0.416,0.342,Crack
247LC.A.76,216.614,28.211,9.776,127.597,0.202,43.738,2.886,0.347,0.444,Crack
247LC.A.77,256.64,31.184,10.479,16.662,0.566,32.132,2.976,0.336,0.823,Crack
247LC.A.78,1417.407,64.465,27.995,179.312,0.334,86.855,2.303,0.434,0.666,Pore with Crack
247LC.A.79,168.346,38.951,5.503,82.991,0.169,43.738,7.078,0.141,0.566,Crack
247LC.A.80,3793.093,81.878,58.984,9.301,0.381,124.72,1.388,0.72,0.722,Pore with Crack
247LC.A.81,1250.237,40.44,39.363,144.89,0.834,42.537,1.027,0.973,0.952,Pore
